,open,percent300Avg,growth5,growth10,growth20,growth40,growth80,growth160,growth300,num,x3,x4,x5,slope5,slope10,slope20,slope40,slope80,slope160,movAvgDiff20,movAvgDiff40,movAvgDiff80,movAvgDiff160,var20,var40,var80,var160,max5D,max10D,max25D,max50,max100,min5D,min10D,min25D,min50,min100,sp_slope5,sp_slope10,sp_slope20,sp_slope40,sp_slope80,sp_slope160,sp_movAvgDiff20,sp_movAvgDiff40,sp_movAvgDiff80,sp_movAvgDiff160,sp_var20,sp_var40,sp_var80,sp_var160,dow_slope5,dow_slope10,dow_slope20,dow_slope40,dow_slope80,dow_slope160,dow_movAvgDiff20,dow_movAvgDiff40,dow_movAvgDiff80,dow_movAvgDiff160,dow_var20,dow_var40,dow_var80,dow_var160,5DayActual,10DayActual,50DayActual,k,300MovAvg,max50D,min50D
2012-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.7542,0.464854545455,-3.27208684211,-1.29712042683,0.519016693038,1.02041005709,0.973131153725,0.949224307699,0.933195223059,0.947224718883,149.173426053,1422.73573436,1356.97938277,1807.74624399,-36.081,-2.97311515152,-30.0537233083,-8.13660605066,2.51856018226,8.95453685608,0.972394681112,0.949750504233,0.938510828164,0.945413253672,11765.075584,113384.242333,87788.042199,84612.7193846,,,,,,,
2012-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.5678,-0.136909090909,-3.11670714286,-1.35026878518,0.481527260607,1.02189583355,0.974738288239,0.950866820826,0.933915102614,0.94682189484,193.551118684,1486.53833718,1448.03090127,1795.54883377,-49.4468,-7.9469030303,-29.0392781955,-8.67026231238,2.25891511222,8.94447006887,0.972903556839,0.950120570139,0.938103805004,0.944035514021,16754.3721608,121150.936424,94481.4231072,86086.7262107,,,,,,,
2012-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.6254,-0.911866666667,-2.94985676692,-1.40497103659,0.443623224332,1.02289471857,0.982149405337,0.958707157361,0.940613446256,0.952435854178,213.120004211,1483.6899959,1517.39297411,1758.55185751,-59.5432,-14.4310545455,-27.9446353383,-9.24614608349,1.99547931757,8.92999139682,0.976685018276,0.954020537603,0.940987163829,0.94591406714,19973.7204198,124363.251559,100286.891025,86318.3810747,,,,,,,
2012-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.439,-1.52383030303,-2.75392669173,-1.45806329737,0.40558246601,1.02344903115,1.00505448134,0.983021655381,0.963733764474,0.974820500894,214.693283158,1405.09104718,1530.91490734,1717.97118642,-52.1614,-19.3901818182,-26.5832402256,-9.8306836773,1.73068340512,8.91151769848,1.0002748705,0.978475733295,0.964374828286,0.968595767608,19929.1203221,119872.819712,101444.420999,85551.7822332,,,,,,,
2012-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2848,-1.95669090909,-2.53773345865,-1.509797303,0.367460356599,1.02355462323,1.0037877053,0.983720241301,0.963718825016,0.973726178064,214.944922105,1318.69824718,1537.61294658,1677.67623912,-24.2586,-22.4300060606,-24.9787417293,-10.4168819653,1.46555784546,8.8891030155,1.00377013628,0.983406411227,0.96854522528,0.97196720873,20000.9399566,114059.495798,101852.364544,84571.4209451,,,,,,,
2012-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2414,-1.74927878788,-1.8491924812,-1.64803470919,0.253460843003,1.02120445586,1.01048080767,0.996423092736,0.973772462072,0.980894370056,212.530826053,975.392193846,1559.06423188,1546.78879258,61.9638,-17.7148484848,-19.3786402256,-12.0806650094,0.674750859998,8.79916326569,1.0106190264,0.995154178204,0.977545907986,0.97889593114,20604.9677503,88474.4577717,104236.477313,80779.6614372,,,,,,,
2012-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8348,-1.28501818182,-1.63547744361,-1.6857624531,0.215618581517,1.01958217508,0.998293355982,0.985878164914,0.962521904421,0.968674273196,211.899487105,848.913778461,1579.78416188,1522.99858577,60.7724,-12.5858787879,-17.5184609023,-12.5768521576,0.412857170066,8.76216376586,0.999568429181,0.985589311609,0.9671055647,0.96783436289,20255.3618411,78138.7122558,105988.620157,80675.5053195,,,,,,,
2012-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8496,-0.636381818182,-1.42576578947,-1.71769188555,0.177945823078,1.01757810065,1.00923581651,0.99815393314,0.973884171504,0.979278386648,217.254718684,743.5164625,1582.4908253,1492.89187986,44.073,-5.54335151515,-15.6380620301,-13.0258455206,0.152406775961,8.72205451858,1.01169195049,0.999108275522,0.979586450026,0.979796074218,21116.503525,68322.0491892,106292.931943,80056.4124135,,,,,,,
2012-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7368,0.0666848484849,-1.23230037594,-1.74476472795,0.140348956868,1.01517772014,1.00249541212,0.992697158966,0.96789301561,0.972365611222,213.453432632,634.724949743,1588.76984044,1469.73009289,24.7022,2.1174,-13.8426319549,-13.433693879,-0.106927695734,8.67873618846,1.00631103804,0.995060680088,0.974802863534,0.974412989192,20791.5176106,58083.7649372,106801.285288,79631.9494088,,,,,,,
2012-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8332,0.805775757576,-1.04972969925,-1.76720820826,0.103057441104,1.01240089222,1.01308205783,1.00468255738,0.97921383463,0.982728783216,225.082667369,517.831805128,1555.7748531,1440.99300814,16.0366,10.2590909091,-12.0701398496,-13.797729151,-0.362944237869,8.63243484798,1.01823870082,1.00845622178,0.98740729309,0.986327095107,22951.4875608,47449.3731435,104861.464908,78717.5454833,,,,,,,
2012-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6996,2.49621212121,-0.499283082707,-1.80062424953,-0.00612971899907,1.00195995483,1.02159751606,1.01661035849,0.990971837744,0.991771225192,289.83571579,373.152377884,1476.81318481,1347.70064552,35.994,29.0401757576,-6.41367969925,-14.558526243,-1.10456000498,8.47708682358,1.02518842335,1.01940894256,0.997727900405,0.994836154289,32473.5097685,33705.4346644,100742.630609,75425.8861313,,,,,,,
2012-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6282,2.80114545455,-0.302068045113,-1.79783466229,-0.0413473921707,0.99786593501,1.02290299296,1.01862347258,0.993286895302,0.993309501048,323.657777895,358.482065384,1447.52062684,1324.25290173,40.252,32.3435212121,-4.30308345865,-14.6848463649,-1.34100334476,8.42051566803,1.02270972795,1.01779704538,0.996369923429,0.992952824336,36035.4786106,32522.5846767,99183.3980418,74593.5014921,,,,,,,
2012-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8466,3.0708,-0.0916759398496,-1.78676104597,-0.0757752388069,0.993580386532,1.03118796112,1.02863057363,1.00346315748,1.00276310138,416.97516079,358.346253269,1416.53195087,1300.47559886,43.8434,34.7528606061,-2.05496503759,-14.7399417683,-1.57069709623,8.36249812035,1.02838680357,1.0252126514,1.00390493062,0.999969547203,42868.273584,32279.3641358,97582.688115,73654.6219029,,,,,,,
2012-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3136,3.27553333333,0.123022180451,-1.7683499531,-0.109423984705,0.989100040559,1.0274289565,1.02670576506,1.00202550085,1.00055603671,486.72752079,353.32121891,1377.68736834,1278.09004346,40.7584,36.0570242424,0.254290601504,-14.7325111867,-1.79372703499,8.30302659583,1.02549264629,1.02415323123,1.00319083468,0.998707285606,48037.0780029,31813.8484718,95297.4622465,72801.468978,,,,,,,
2012-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3726,3.2178,0.313895112782,-1.74653468574,-0.142583258615,0.984382559347,1.00444908401,1.00496525233,0.98105337343,0.978631823746,483.769674737,316.602127179,1329.76382429,1260.71944653,28.1204,34.6002060606,2.38029022556,-14.6913920497,-2.01262181786,8.24175308124,1.00490074935,1.0048793685,0.984425731433,0.979320394973,47540.8677945,29028.7784123,92892.5434415,72382.5094214,,,,,,,
2012-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.181,2.1959030303,0.760007518797,-1.65424666979,-0.238374350973,0.969119455716,1.00664738686,1.01243012239,0.989747560247,0.984774231434,269.564889474,284.460889166,1237.40236449,1201.67379923,-32.7076,20.5734121212,7.64853909774,-14.2969075516,-2.6393120092,8.04910025004,1.00536558741,1.01076148149,0.99100918369,0.984176738631,27241.1000906,26053.8537948,89285.067842,70694.6792309,,,,,,,
