Date, Open, High, Low, Close
10/06/16, 2158.22, 2162.93, 2150.28, 2160.77
10/05/16, 2155.15, 2163.95, 2155.15, 2159.73
10/04/16, 2163.37, 2165.46, 2144.01, 2150.49
10/03/16, 2164.33, 2164.41, 2154.77, 2161.20
09/30/16, 2156.51, 2175.30, 2156.51, 2168.27
09/29/16, 2168.90, 2172.67, 2145.20, 2151.13
09/28/16, 2161.85, 2172.40, 2151.79, 2171.37
09/27/16, 2146.04, 2161.13, 2141.55, 2159.93
09/26/16, 2158.54, 2158.54, 2145.04, 2146.10
09/23/16, 2173.29, 2173.75, 2163.97, 2164.69
09/22/16, 2170.94, 2179.99, 2170.94, 2177.18
09/21/16, 2144.58, 2165.11, 2139.57, 2163.12
09/20/16, 2145.94, 2150.80, 2139.17, 2139.76
09/19/16, 2143.99, 2153.61, 2135.91, 2139.12
09/16/16, 2146.48, 2146.48, 2131.20, 2139.16
09/15/16, 2125.36, 2151.31, 2122.36, 2147.26
09/14/16, 2127.86, 2141.33, 2119.90, 2125.77
09/13/16, 2150.47, 2150.47, 2120.27, 2127.02
09/12/16, 2120.86, 2163.30, 2119.12, 2159.04
09/09/16, 2169.08, 2169.08, 2127.81, 2127.81
09/08/16, 2182.76, 2184.94, 2177.49, 2181.30
09/07/16, 2185.17, 2187.87, 2179.07, 2186.16
09/06/16, 2181.61, 2186.57, 2175.10, 2186.48
09/02/16, 2177.49, 2184.87, 2173.59, 2179.98
09/01/16, 2171.33, 2173.56, 2157.09, 2170.86
08/31/16, 2173.56, 2173.79, 2161.35, 2170.95
08/30/16, 2179.45, 2182.27, 2170.41, 2176.12
08/29/16, 2170.19, 2183.48, 2170.19, 2180.38
08/26/16, 2175.10, 2187.94, 2160.39, 2169.04
08/25/16, 2173.29, 2179.00, 2169.74, 2172.47
08/24/16, 2185.09, 2186.66, 2171.25, 2175.44
08/23/16, 2187.81, 2193.42, 2186.80, 2186.90
08/22/16, 2181.58, 2185.15, 2175.96, 2182.64
08/19/16, 2184.24, 2185.00, 2175.13, 2183.87
08/18/16, 2181.90, 2187.03, 2180.46, 2187.02
08/17/16, 2177.84, 2183.08, 2168.50, 2182.22
08/16/16, 2186.24, 2186.24, 2178.14, 2178.15
08/15/16, 2186.08, 2193.81, 2186.08, 2190.15
08/12/16, 2183.74, 2186.28, 2179.42, 2184.05
08/11/16, 2177.97, 2188.45, 2177.97, 2185.79
08/10/16, 2182.81, 2183.41, 2172.00, 2175.49
08/09/16, 2182.24, 2187.66, 2178.61, 2181.74
08/08/16, 2183.76, 2185.44, 2177.85, 2180.89
08/05/16, 2168.79, 2182.87, 2168.79, 2182.87
08/04/16, 2163.51, 2168.19, 2159.07, 2164.25
08/03/16, 2156.81, 2163.79, 2152.56, 2163.79
08/02/16, 2169.94, 2170.20, 2147.58, 2157.03
08/01/16, 2173.15, 2178.29, 2166.21, 2170.84
07/29/16, 2168.83, 2177.09, 2163.49, 2173.60
07/28/16, 2166.05, 2172.85, 2159.74, 2170.06
07/27/16, 2169.81, 2174.98, 2159.07, 2166.58
07/26/16, 2168.97, 2173.54, 2160.18, 2169.18
07/25/16, 2173.71, 2173.71, 2161.95, 2168.48
07/22/16, 2166.47, 2175.11, 2163.24, 2175.03
07/21/16, 2172.91, 2174.56, 2159.75, 2165.17
07/20/16, 2166.10, 2175.63, 2164.89, 2173.02
07/19/16, 2163.79, 2164.63, 2159.01, 2163.78
07/18/16, 2162.04, 2168.35, 2159.63, 2166.89
07/15/16, 2165.13, 2169.05, 2155.79, 2161.74
07/14/16, 2157.88, 2168.99, 2157.88, 2163.75
07/13/16, 2153.81, 2156.45, 2146.21, 2152.43
07/12/16, 2139.50, 2155.40, 2139.50, 2152.14
07/11/16, 2131.72, 2143.16, 2131.72, 2137.16
07/08/16, 2106.97, 2131.71, 2106.97, 2129.90
07/07/16, 2100.42, 2109.08, 2089.39, 2097.90
07/06/16, 2084.43, 2100.72, 2074.02, 2099.73
07/05/16, 2095.05, 2095.05, 2080.86, 2088.55
07/01/16, 2099.34, 2108.71, 2097.90, 2102.95
06/30/16, 2073.17, 2098.94, 2070.00, 2098.86
06/29/16, 2042.69, 2073.13, 2042.69, 2070.77
06/28/16, 2006.67, 2036.09, 2006.67, 2036.09
06/27/16, 2031.45, 2031.45, 1991.68, 2000.54
06/24/16, 2103.81, 2103.81, 2032.57, 2037.41
06/23/16, 2092.80, 2113.32, 2092.80, 2113.32
06/22/16, 2089.75, 2099.71, 2084.36, 2085.45
06/21/16, 2085.19, 2093.66, 2083.02, 2088.90
06/20/16, 2075.58, 2100.66, 2075.58, 2083.25
06/17/16, 2078.20, 2078.20, 2062.84, 2071.22
06/16/16, 2066.36, 2079.62, 2050.37, 2077.99
06/15/16, 2077.60, 2085.65, 2069.80, 2071.50
06/14/16, 2076.65, 2081.30, 2064.10, 2075.32
06/13/16, 2091.75, 2098.12, 2078.46, 2079.06
06/10/16, 2109.57, 2109.57, 2089.96, 2096.07
06/09/16, 2115.65, 2117.64, 2107.73, 2115.48
06/08/16, 2112.71, 2120.55, 2112.71, 2119.12
06/07/16, 2110.18, 2119.22, 2110.18, 2112.13
06/06/16, 2100.83, 2113.36, 2100.83, 2109.41
06/03/16, 2104.07, 2104.07, 2085.36, 2099.13
06/02/16, 2097.71, 2105.26, 2088.59, 2105.26
06/01/16, 2093.94, 2100.97, 2085.10, 2099.33
05/31/16, 2100.13, 2103.48, 2088.66, 2096.96
05/27/16, 2090.06, 2099.06, 2090.06, 2099.06
05/26/16, 2091.44, 2094.30, 2087.08, 2090.10
05/25/16, 2078.93, 2094.73, 2078.93, 2090.54
05/24/16, 2052.65, 2079.67, 2052.65, 2076.06
05/23/16, 2052.23, 2055.58, 2047.26, 2048.04
05/20/16, 2041.88, 2058.35, 2041.88, 2052.32
05/19/16, 2044.21, 2044.21, 2025.91, 2040.04
05/18/16, 2044.38, 2060.61, 2034.49, 2047.63
05/17/16, 2065.04, 2065.69, 2040.82, 2047.21
05/16/16, 2046.53, 2071.88, 2046.53, 2066.66
05/13/16, 2062.50, 2066.79, 2043.13, 2046.61
05/12/16, 2067.17, 2073.99, 2053.13, 2064.11
05/11/16, 2083.29, 2083.29, 2064.46, 2064.46
05/10/16, 2062.63, 2084.87, 2062.63, 2084.39
05/09/16, 2057.55, 2064.15, 2054.31, 2058.69
05/06/16, 2047.77, 2057.72, 2039.45, 2057.14
05/05/16, 2052.95, 2060.23, 2045.77, 2050.63
05/04/16, 2060.30, 2060.30, 2045.55, 2051.12
05/03/16, 2077.18, 2077.18, 2054.89, 2063.37
05/02/16, 2067.17, 2083.42, 2066.11, 2081.43
04/29/16, 2071.82, 2073.85, 2052.28, 2065.30
04/28/16, 2090.93, 2099.30, 2071.62, 2075.81
04/27/16, 2092.33, 2099.89, 2082.31, 2095.15
04/26/16, 2089.84, 2096.87, 2085.80, 2091.70
04/25/16, 2089.37, 2089.37, 2077.52, 2087.79
04/22/16, 2091.49, 2094.32, 2081.20, 2091.58
04/21/16, 2102.09, 2103.78, 2088.52, 2091.48
04/20/16, 2101.52, 2111.05, 2096.32, 2102.40
04/19/16, 2096.05, 2104.05, 2091.68, 2100.80
04/18/16, 2078.83, 2094.66, 2073.65, 2094.34
04/15/16, 2083.10, 2083.22, 2076.31, 2080.73
04/14/16, 2082.89, 2087.84, 2078.13, 2082.78
04/13/16, 2065.92, 2083.18, 2065.92, 2082.42
04/12/16, 2043.72, 2065.05, 2039.74, 2061.72
04/11/16, 2050.23, 2062.93, 2041.88, 2041.99
04/08/16, 2045.54, 2060.63, 2041.69, 2047.60
04/07/16, 2063.01, 2063.01, 2033.80, 2041.91
04/06/16, 2045.56, 2067.33, 2043.09, 2066.66
04/05/16, 2062.50, 2062.50, 2042.56, 2045.17
04/04/16, 2073.19, 2074.02, 2062.57, 2066.13
04/01/16, 2056.62, 2075.07, 2043.98, 2072.78
03/31/16, 2063.77, 2067.92, 2057.46, 2059.74
03/30/16, 2058.27, 2072.21, 2058.27, 2063.95
03/29/16, 2035.75, 2055.91, 2028.31, 2055.01
03/28/16, 2037.89, 2042.67, 2031.96, 2037.05
03/24/16, 2032.48, 2036.04, 2022.49, 2035.94
03/23/16, 2048.55, 2048.55, 2034.86, 2036.71
03/22/16, 2048.64, 2056.60, 2040.57, 2049.80
03/21/16, 2047.88, 2053.91, 2043.14, 2051.60
03/18/16, 2041.16, 2052.36, 2041.16, 2049.58
03/17/16, 2026.90, 2046.24, 2022.16, 2040.59
03/16/16, 2014.24, 2032.02, 2010.04, 2027.22
03/15/16, 2015.27, 2015.94, 2005.23, 2015.93
03/14/16, 2019.27, 2024.57, 2012.05, 2019.64
03/11/16, 1994.71, 2022.37, 1994.71, 2022.19
03/10/16, 1990.97, 2005.08, 1969.25, 1989.57
03/09/16, 1981.44, 1992.69, 1979.84, 1989.26
03/08/16, 1996.88, 1996.88, 1977.43, 1979.26
03/07/16, 1996.11, 2006.12, 1989.38, 2001.76
03/04/16, 1994.01, 2009.13, 1986.77, 1999.99
03/03/16, 1985.60, 1993.69, 1977.37, 1993.40
03/02/16, 1976.60, 1986.51, 1968.80, 1986.45
03/01/16, 1937.09, 1978.35, 1937.09, 1978.35
02/29/16, 1947.13, 1958.27, 1931.81, 1932.23
02/26/16, 1954.95, 1962.96, 1945.78, 1948.05
02/25/16, 1931.87, 1951.83, 1925.41, 1951.70
02/24/16, 1917.56, 1932.08, 1891.00, 1929.80
02/23/16, 1942.38, 1942.38, 1919.44, 1921.27
02/22/16, 1924.44, 1946.70, 1924.44, 1945.50
02/19/16, 1916.74, 1918.78, 1902.17, 1917.78
02/18/16, 1927.57, 1930.00, 1915.09, 1917.83
02/17/16, 1898.80, 1930.68, 1898.80, 1926.82
02/16/16, 1871.44, 1895.77, 1871.44, 1895.58
02/12/16, 1833.40, 1864.78, 1833.40, 1864.78
02/11/16, 1847.00, 1847.00, 1810.10, 1829.08
02/10/16, 1857.10, 1881.60, 1850.32, 1851.86
02/09/16, 1848.46, 1868.25, 1834.94, 1852.21
02/08/16, 1873.25, 1873.25, 1828.46, 1853.44
02/05/16, 1913.07, 1913.07, 1872.65, 1880.05
02/04/16, 1911.67, 1927.35, 1900.52, 1915.45
02/03/16, 1907.07, 1918.01, 1872.23, 1912.53
02/02/16, 1935.26, 1935.26, 1897.29, 1903.03
02/01/16, 1936.94, 1947.20, 1920.30, 1939.38
01/29/16, 1894.00, 1940.24, 1894.00, 1940.24
01/28/16, 1885.22, 1902.96, 1873.65, 1893.36
01/27/16, 1902.52, 1916.99, 1872.70, 1882.95
01/26/16, 1878.79, 1906.73, 1878.79, 1903.63
01/25/16, 1906.28, 1906.28, 1875.97, 1877.08
01/22/16, 1877.40, 1908.85, 1877.40, 1906.90
01/21/16, 1861.46, 1889.85, 1848.98, 1868.99
01/20/16, 1876.18, 1876.18, 1812.29, 1859.33
01/19/16, 1888.66, 1901.44, 1864.60, 1881.33
01/15/16, 1916.68, 1916.68, 1857.83, 1880.33
01/14/16, 1891.68, 1934.47, 1878.93, 1921.84
01/13/16, 1940.34, 1950.33, 1886.41, 1890.28
01/12/16, 1927.83, 1947.38, 1914.35, 1938.68
01/11/16, 1926.12, 1935.65, 1901.10, 1923.67
01/08/16, 1945.97, 1960.40, 1918.46, 1922.03
01/07/16, 1985.32, 1985.32, 1938.83, 1943.09
01/06/16, 2011.71, 2011.71, 1979.05, 1990.26
01/05/16, 2013.78, 2021.94, 2004.17, 2016.71
